"CREDITS: Skrine, Scrappy, Freckleston",,,,,,,,,,,,This section tells you what rounds are insta-kill rounds for the elemental zombies as well as water-infused zombies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLICK HERE TO VIEW ALL AVAILABLE INFO AND IT'S LOCATION,,,,,,,,,,,,,,,,,,,,,,,,,Easter Egg Cheat Sheet ,,,,,,,,,,,Box percentages and rarities,,,,,,,,
42,1:03.60,1:28.45,1:58.50,1:57.55,,,,,,,,0:00,FALSE,FALSE,,,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,Locus,7,18,Locus,7,14,Tigershark,6,30
43,1:05.50,1:30.50,2:03.55,2:02.40,,,,,,,,0:00,TRUE,,,,,,,,,,,Blood of the Dead --- Blood Code: 872,,,,,,,,,,,,Outlaw,7,34,Outlaw,7,30,VKM,6,60
44,1:07.45,1:34.55,1:31.55,2:07.70,,,,,,,,0:00,FALSE,FALSE,,TRUE,TRUE,,FALSE,,FALSE,,,,,,,,,,,,,,,Paladin,7,35,Paladin,7,31,AN94,7,20
45,1:09.50,1:37.50,1:35.45,2:12.40,,,,,,,,0:00,TRUE,,,,,,,,,,,,,,,,,,,,,,,Reaver,7,15,Reaver,7,11,Locus,7,26
46,1:00.55,1:19.50,1:38.50,2:17.40,,,,,,,,0:00,TRUE,,,,,,,,,,,,,,,,,,,,,,,Zweihander,7,54,Zweihander,7,50,Outlaw,7,42
47,1:02.50,1:22.45,1:41.45,2:22.60,,,,,,,,0:00,FALSE,TRUE,,TRUE,TRUE,,FALSE,,TRUE,,,,,,,,,,,,,,,,,,,,,Paladin,7,43
48,1:04.55,1:25.55,1:44.50,2:28.40,,,,,,,,0:00,FALSE,FALSE,,,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,Reaver,7,23
49,1:05.40,1:28.45,1:48.45,2:33.65,,,,,,,,0:00,FALSE,FALSE,,,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,Zweihander,7,62
,,,,,,,,,,,,0:00,FALSE,FALSE,,,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0:00,FALSE,FALSE,,,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,Classified,,,Dead of the Night,,,Ancient Evil,,
,,,,,,,,,,,,197,FALSE,TRUE,,TRUE,TRUE,,FALSE,,TRUE,,,,,,,,,,,,,,,Weapon Name,Weapon Tier,Weapon Index,Weapon Name,Weapon Tier,Weapon Index,Weapon Name,Weapon Tier,Weapon Index
,,,,,,,,,,,,198,TRUE,,,,,,,,,,,,,,,,,,,,,,,Mark II,0,0,Folly,0,2,Homonculus,0,11
,,,,,,,,,,,,199,FALSE,FALSE,,,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,Monkeys,0,4,Homonculus,0,4,Essex,1,37
,,,,,,,,,,,,200,TRUE,,,,,,,,,,,,,,,,,,,,,,,Ray Gun,0,1,Essex,1,30,Escargot,2,44
,,,,,,,,,,,,201,TRUE,,,,,,,,,,,,,,,,,,,,,,,Winter's Howl,0,23,Escargot,2,37,MOG,2,48
,,,,,,,,,,,,202,FALSE,TRUE,,,FALSE,,TRUE,,TRUE,,,,,,,,,,,,,,,Essex,1,30,MOG,2,41,RK7,2,52
,,,,,,,,,,,,203,TRUE,,,,,,,,,,,,,,,,,,,,,,,Escargot,2,37,RK7,2,45,Ballistic Knife,3,25
,,,,,,,,,,,,204,TRUE,,,,,,,,,,,,,,,,,,,,,,,MOG,2,41,Ballistic Knife,3,18,Kap45,3,31
,,,,,,,,,,,,205,TRUE,,,,,,,,,,,,,,,,,,,,,,,RK7,2,45,Kap45,3,24,Mozu,3,51
,,,,,,,,,,,,206,FALSE,TRUE,FALSE,FALSE,FALSE,,TRUE,,TRUE,,,,,,,,,,,,,,,Ballistic Knife,3,18,Mozu,3,44,Spitfire,3,47
,,,,,,,,,,,,207,TRUE,,,,,,,,,,,,,,,,,,,,,,,Kap45,3,24,Spitfire,3,40,Switchblade,3,28
,,,,,,,,,,,,208,FALSE,FALSE,,,FALSE,,FALSE,,FALSE,,,,,Voyage of Despair ,,,,,,,,,,Mozu,3,44,Switchblade,3,21,Swordfish,3,35
,,,,,,,,,,,,209,TRUE,,,,,,,,,,,,,Shape,Clock Time,,TP Order,,,,,,,Spitfire,3,40,Swordfish,3,28,Argus,4,20
,,,,,,,,,,,,210,TRUE,,,,,,,,,,,,,Triangle,,,Cryo -Freeze,---------------------,Poison 1,,,,,Switchblade,3,21,Argus,4,13,Cordite,4,45
,,,,,,,,,,,,211,TRUE,,,,,,,,,,,,,Upside down,,,Kill-o-Watt,---------------------,Water 2,,,,,Swordfish,3,28,Cordite,4,38,Daemon,4,30
,,,,,,,,,,,,212,TRUE,,,,,,,,,,,,,Triangle Line,,,Fire Bomb,---------------------,Eletric 3,,,,,Argus,4,13,Daemon,4,23,Hellion,4,59
,,,,,,,,,,,,213,FALSE,FALSE,,TRUE,TRUE,,FALSE,,FALSE,,,,,Upside down Line,,,Brain Rot,---------------------,Fire 4,,,,,Cordite,4,38,Hellion,4,52,Maddox,4,64
,,,,,,,,,,,,214,FALSE,TRUE,,TRUE,TRUE,,FALSE,,TRUE,,,Planet,Order,,,,,,,,,,,Daemon,4,23,Maddox,4,57,Rampage,4,27
,,,,,,,,,,,,215,FALSE,FALSE,,FALSE,FALSE,,FALSE,,FALSE,,,mars,,,,,,,,,,,,Hellion,4,52,Rampage,4,20,Vapr,4,62
,,,,,,,,,,,,216,FALSE,TRUE,,FALSE,FALSE,,TRUE,,TRUE,,,mercury,,,,,,,,,,,,Maddox,4,57,Vapr,4,55,VMP,4,15
,,,,,,,,,,,,217,TRUE,,,,,,,,,,,neptune,,,,,,,,,,,,Rampage,4,20,VMP,4,8,ABR,5,34
,,,,,,,,,,,,218,TRUE,,,,,,,,,,,venus,,,,,,,,,,,,Vapr,4,55,ABR,5,27,Grav,5,33
,,,,,,,,,,,,219,FALSE,TRUE,,FALSE,FALSE,,TRUE,,TRUE,,,uranus,,,,,,,,,,,,VMP,4,8,Grav,5,26,Havelina,5,17
,,,,,,,,,,,,220,FALSE,TRUE,,TRUE,TRUE,,FALSE,,TRUE,,,moon,,,,,,,,,,,,ABR,5,27,Havelina,5,10,Hitchcock,5,60
,,,,,,,,,,,,221,FALSE,FALSE,,TRUE,TRUE,,FALSE,,FALSE,,,saturn,,,,,,,,,,,,Grav,5,26,Hitchcock,5,53,M16,5,18
,,,,,,,,,,,,222,FALSE,TRUE,,FALSE,TRUE,,FALSE,,TRUE,,,jupitar,,,,,,,,,,,,Havelina,5,10,M16,5,11,MP40,5,29
,,,,,,,,,,,,223,TRUE,,,,,,,,,,,sun,LAST,,,,,,,,,,,Hitchcock,5,53,MP40,5,22,Peacekeeper,5,24
,,,,,,,,,,,,224,TRUE,,,,,,,,,,,,,,,,,,,,,,,M16,5,11,Peacekeeper,5,17,Rampart,5,63
,,,,,,,,,,,,225,FALSE,FALSE,,,FALSE,TRUE,FALSE,,FALSE,,,,,,,,,,,,,,,MP40,5,22,Rampart,5,56,SDM,5,40
,,,,,,,,,,,,226,FALSE,TRUE,,,TRUE,,FALSE,,TRUE,,,,,,,,,,,,,,,Peacekeeper,5,17,SDM,5,33,SG12,5,50
,,,,,,,,,,,,227,FALSE,TRUE,TRUE,,FALSE,TRUE,TRUE,,TRUE,,,,,,,,,,,,,,,Rampart,5,56,SG12,5,43,Swat,5,32
,,,,,,,,,,,,228,TRUE,,,,,,,,,,,,,,,,,,,,,,,SDM,5,33,Swat,5,25,Vendetta,5,21
,,,,,,,,,,,,229,FALSE,FALSE,,TRUE,TRUE,,FALSE,,FALSE,,,,,,,,,,,,,,,SG12,5,43,Vendetta,5,14,Echohawk,6,14
,,,,,,,,,,,,230,FALSE,TRUE,FALSE,,FALSE,,TRUE,FALSE,TRUE,,,,,,,,,,,,,,,Swat,5,25,Echohawk,6,7,Hades,6,55
,,,,,,,,,,,,231,FALSE,TRUE,,,TRUE,,FALSE,,TRUE,,,,,,,,,,,,,,,Vendetta,5,14,Hades,6,48,MicroMG,6,13
,,,,,,,,,,,,232,FALSE,TRUE,,TRUE,TRUE,,,,TRUE,,,,,,,,,,,,,,,Echohawk,6,7,MicroMG,6,6,Stingray,6,23
,,,,,,,,,,,,233,TRUE,,,,,,,,,,,,,,Tag Der Toten,,,,,,,,,Hades,6,48,Stingray,6,16,Tigershark,6,26
,,,,,,,,,,,,234,TRUE,,,,,,,,,,,,,"""where falls freeze"" - bottom of the flooded stairs,lower section of the Cargo hold.",,,,,,,,,,MicroMG,6,6,Tigershark,6,19,VKM,6,56
,,,,,,,,,,,,235,FALSE,FALSE,,,TRUE,,FALSE,,FALSE,,,,,"""where feet slip"" - slide down ice slide and hold interact.",,,,,,,,,,Stingray,6,16,VKM,6,49,AN94,7,16
,,,,,,,,,,,,236,FALSE,FALSE,,,FALSE,,FALSE,,FALSE,,,,,"""where filth cleanses"" - Facility decontamination room.",,,,,,,,,,Tigershark,6,19,AN94,7,9,Locus,7,22
,,,,,,,,,,,,237,TRUE,,,,,,,,,,,,,"""where fire sinks"" - Sunken Valley, next to the fire.",,,,,,,,,,VKM,6,49,Locus,7,15,Outlaw,7,38
,,,,,,,,,,,,238,FALSE,FALSE,TRUE,,FALSE,TRUE,FALSE,,FALSE,TRUE,,,,"""where lightning aims"" - Facility, next to the DG-2 Wunderwaffe poster.",,,,,,,,,,AN94,7,9,Outlaw,7,31,Paladin,7,39
,,,,,,,,,,,,239,FALSE,TRUE,,,FALSE,,TRUE,FALSE,TRUE,,,,,"""where lines berth"" - spawn, by the zipline leading up to lighthouse.",,,,,,,,,,Locus,7,15,Paladin,7,32,Reaver,7,19
,,,,,,,,,,,,240,FALSE,TRUE,,,FALSE,,TRUE,,TRUE,,,,,"""where lungs close"" - swim through underwater cave from docks to boat.",,,,,,,,,,Outlaw,7,31,Reaver,7,12,Zweihander,7,58
,,,,,,,,,,,,241,TRUE,,,,,,,,,,,,,"""where madness sleeps"" - Facility, in the prison cells.",,,,,,,,,,Paladin,7,32,Zweihander,7,51,,,
,,,,,,,,,,,,242,TRUE,,,,,,,,,,,,,"""where north is found"" - compass in captains section of the ship.",,,,,,,,,,Reaver,7,12,,,,,,
,,,,,,,,,,,,243,TRUE,,,,,,,,,,,,,"""where power ends"" - Facility, next to power switch.",,,,,,,,,,Zweihander,7,51,,,,,,
,,,,,,,,,,,,244,TRUE,,,,,,,,,,,,,"""where preservation freezes"" - Main Deck on boat, look for life ring.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,245,FALSE,FALSE,,TRUE,TRUE,,FALSE,,FALSE,,,,,"""where the hidden burns"" - in Cargo Hold, in the secret pathway to the left of the fire.",,,,,,,,,,,Alpha Omega,,,Tag Der Toten,,,,
,,,,,,,,,,,,246,FALSE,TRUE,,,FALSE,TRUE,TRUE,,TRUE,,,,,"“where bounded slept”, - on the crates at the back of the boat, near the soup.",,,,,,,,,,,Weapon Name,Weapon Tier,Weapon Index,Weapon Name,Weapon Tier,Weapon Index,,
,,,,,,,,,,,,247,TRUE,,,,,,,,,,,,,"“where crows roost” - Forecastle, opposite the cooking pot on barrels.",,,,,,,,,,,Mark II,0,6,Mark II,0,9,,
,,,,,,,,,,,,248,TRUE,,,,,,,,,,,,,"“where helixes peak” - Lighthouse Level 4, on top of jars next to the doorway.",,,,,,,,,,,Monkeys,0,9,Matryoshka,0,12,,
,,,,,,,,,,,,249,TRUE,,,,,,,,,,,,,"“where mountains throw” - Facility, walkway near the flinger.",,,,,,,,,,,Ray Gun,0,7,Monkeys,0,16,,
,,,,,,,,,,,,250,FALSE,,,,FALSE,,FALSE,,FALSE,,,,,"“where one mysteries” - lighthouse level 1, at the bottom of the stairs near the mystery box.",,,,,,,,,,,Tommy Gun,0,0,Ray Gun,0,10,,
,,,,,,,,,,,,251,FALSE,FALSE,,TRUE,TRUE,,FALSE,,FALSE,,,,,"“where thirst dawns” - on side of the boat near soda, forward at the sun.",,,,,,,,,,,Essex,1,36,Thundergun,0,0,,
,,,,,,,,,,,,252,FALSE,FALSE,,FALSE,FALSE,,FALSE,TRUE,FALSE,,,,,“Where Earth Crumbles” - Geological Room in Facility,,,,,,,,,,,Escargot,2,43,Tommy Gun,0,7,,
,,,,,,,,,,,,253,TRUE,,,,,,,,,,,,,“Where Bread Breaks” - Kitchen on Ship,,,,,,,,,,,MOG,2,47,Tundragun,0,1,,
,,,,,,,,,,,,254,TRUE,,,,,,,,,,,,,,,,,,,,,,,,RK7,2,51,Waffe,0,11,,
,,,,,,,,,,,,255,TRUE,,,,,,,,,,,,,,,,,,,,,,,,Ballistic Knife,3,24,Essex,1,42,,
,,,,,,,,,,,,256,TRUE,,,,,,,,,,,,,,,,,,,,,,,,Kap45,3,30,Escargot,2,49,,
,,,,,,,,,,,,257,TRUE,,,,,,,,,,,,,,,,,,,,,,,,Mozu,3,50,MOG,2,53,,
,,,,,,,,,,,,258,FALSE,FALSE,,,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,,Spitfire,3,46,RK7,2,57,,
,,,,,,,,,,,,259,FALSE,FALSE,,TRUE,TRUE,,FALSE,,FALSE,,,,,,,,,,,,,,,,Switchblade,3,27,Ballistic Knife,3,30,,
,,,,,,,,,,,,260,TRUE,,,,,,,,,,,,,,,,,,,,,,,,Swordfish,3,34,Kap45,3,36,,
,,,,,,,,,,,,261,TRUE,,,,,,,,,,,,,,,,,,,,,,,,Argus,4,19,Mozu,3,56,,
,,,,,,,,,,,,262,FALSE,TRUE,,,FALSE,,TRUE,,TRUE,,,,,,,,,,,,,,,,Cordite,4,44,Spitfire,3,52,,
,,,,,,,,,,,,263,TRUE,,,,,,,,,,,,,,,,,,,,,,,,Daemon,4,29,Switchblade,3,33,,
,,,,,,,,,,,,264,FALSE,FALSE,,,FALSE,TRUE,FALSE,,FALSE,,,,,,,,,,,,,,,,Hellion,4,58,Swordfish,3,40,,
,,,,,,,,,,,,265,FALSE,TRUE,,,FALSE,,TRUE,,TRUE,,,,,,,,,,,,,,,,Maddox,4,63,Argus,4,25,,
,,,,,,,,,,,,266,TRUE,,,,,,,,,,,,,,,,,,,,,,,,Rampage,4,26,Cordite,4,50,,
,,,,,,,,,,,,267,TRUE,,,,,,,,,,,,,,,,,,,,,,,,Vapr,4,61,Daemon,4,35,,
,,,,,,,,,,,,268,TRUE,,,,,,,,,,,,,,,,,,,,,,,,VMP,4,14,Hellion,4,64,,
,,,,,,,,,,,,269,TRUE,,,,,,,,,,,,,,,,,,,,,,,,ABR,5,33,Maddox,4,69,,
,,,,,,,,,,,,270,TRUE,,,,,,,,,,,,,,,,,,,,,,,,Grav,5,32,Rampage,4,32,,
,,,,,,,,,,,,271,TRUE,,,,,,,,,,,,,,,,,,,,,,,,Havelina,5,16,Vapr,4,67,,
,,,,,,,,,,,,272,TRUE,,,,,,,,,,,,,,,,,,,,,,,,Hitchcock,5,59,VMP,4,20,,
,,,,,,,,,,,,273,FALSE,,,,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,,M16,5,17,ABR,5,39,,
,,,,,,,,,,,,274,TRUE,,,,,,,,,,,,,,,,,,,,,,,,MP40,5,28,Grav,5,38,,
,,,,,,,,,,,,275,FALSE,TRUE,FALSE,,FALSE,,TRUE,,TRUE,,,,,,,,,,,,,,,,Peacekeeper,5,23,Havelina,5,22,,
,,,,,,,,,,,,276,FALSE,FALSE,,TRUE,TRUE,,FALSE,,FALSE,,,,,,,,,,,,,,,,Rampart,5,62,Hitchcock,5,65,,
,,,,,,,,,,,,277,TRUE,,,,,,,,,,,,,,,,,,,,,,,,SDM,5,39,M16,5,24,,
,,,,,,,,,,,,278,TRUE,,,,,,,,,,,,,,,,,,,,,,,,SG12,5,49,MP40,5,34,,
,,,,,,,,,,,,279,FALSE,FALSE,,,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,Swat,5,31,Peacekeeper,5,29,,
,,,,,,,,,,,,280,FALSE,TRUE,,,FALSE,,TRUE,,TRUE,,,,,,,,,,,,,,,,Vendetta,5,20,Rampart,5,68,,
