,"CREDIT: Skrine, NoTex",,,,,,,,,,,,,,
60,,,,,,,0:30,0:27,0:23,0:20,348,60,0.1,34.8,
61,,,,,,,0:30,0:27,0:23,0:20,359,61,0.1,35.9,
62,,,,,,,0:30,0:27,0:23,0:20,370,62,0.1,37,
63,,,,,,,0:30,0:27,0:23,0:20,382,63,0.1,38.2,
64,,,,,,,0:30,0:27,0:23,0:20,393,64,0.1,39.3,
65,,,,,,,0:30,0:27,0:23,0:20,405,65,0.1,40.5,
66,,,,,,,0:30,0:27,0:23,0:20,417,66,0.1,41.7,
67,,,,,,,0:30,0:27,0:23,0:20,429,67,0.1,42.9,
68,,,,,,,0:30,0:27,0:23,0:20,441,68,0.1,44.1,
69,,,,,,,0:30,0:27,0:23,0:20,453,69,0.1,45.3,
70,,,,,,,0:30,0:27,0:23,0:20,465,70,0.1,46.5,
71,,,,,,,0:30,0:27,0:23,0:20,478,71,0.1,47.8,
72,,,,,,,0:30,0:27,0:23,0:20,491,72,0.1,49.1,
73,,,,,,,0:30,0:27,0:23,0:20,504,73,0.1,50.4,
74,,,,,,,0:30,0:27,0:23,0:20,517,74,0.1,51.7,
75,,,,,,,0:30,0:27,0:23,0:20,531,75,0.1,53.1,
76,,,,,,,0:30,0:27,0:23,0:20,544,76,0.1,54.4,
77,,,,,,,0:30,0:27,0:23,0:20,558,77,0.1,55.8,
78,,,,,,,0:30,0:27,0:23,0:20,572,78,0.1,57.2,
79,,,,,,,0:30,0:27,0:23,0:20,586,79,0.1,58.6,
80,,,,,,,0:30,0:27,0:23,0:20,600,80,0.1,60,
81,,,,,,,0:30,0:27,0:23,0:20,615,81,0.1,61.5,
82,,,,,,,0:30,0:27,0:23,0:20,630,82,0.1,63,
83,,,,,,,0:30,0:27,0:23,0:20,645,83,0.1,64.5,
84,,,,,,,0:30,0:27,0:23,0:20,660,84,0.1,66,
85,,,,,,,0:30,0:27,0:23,0:20,675,85,0.1,67.5,
86,,,,,,,0:30,0:27,0:23,0:20,690,86,0.1,69,
87,,,,,,,0:30,0:27,0:23,0:20,706,87,0.1,70.6,
88,,,,,,,0:30,0:27,0:23,0:20,721,88,0.1,72.1,
89,,,,,,,0:30,0:27,0:23,0:20,737,89,0.1,73.7,
90,,,,,,,0:30,0:27,0:23,0:20,753,90,0.1,75.3,
91,,,,,,,0:30,0:27,0:23,0:20,770,91,0.1,77,
92,,,,,,,0:30,0:27,0:23,0:20,786,92,0.1,78.6,
93,,,,,,,0:30,0:27,0:23,0:20,803,93,0.1,80.3,
94,,,,,,,0:30,0:27,0:23,0:20,820,94,0.1,82,
95,,,,,,,0:30,0:27,0:23,0:20,837,95,0.1,83.7,
96,,,,,,,0:30,0:27,0:23,0:20,854,96,0.1,85.4,
97,,,,,,,0:30,0:27,0:23,0:20,871,97,0.1,87.1,
98,,,,,,,0:30,0:27,0:23,0:20,889,98,0.1,88.9,
99,,,,,,,0:30,0:27,0:23,0:20,907,99,0.1,90.7,
100,,,,,,,0:30,0:27,0:23,0:20,924,100,0.1,92.4,
